key,name,gender,birthdate,deathdate
Q12587262,김동현,m,19500610,
Q12587265,김동현,m,19981110,
Q12587341,김명식 (정치인),,,
Q12587372,김문희,f,19281013,
Q12587423,김민지,f,19850814,
Q12587500,김병호 (조선민주주의인민공화국의 정치인),m,19600101,
Q12587503,김병훈,,19241124,20130829
Q12587534,김부겸,m,19561201,
Q12587706,김성덕,m,,
Q12587796,김세배,,19310915,20140803
Q12587827,김송철,,,
Q12587913,김승환,m,19790101,
Q12587936,김신석,m,18960926,19480912
Q12587947,김약선 (고려),m,,
Q12587949,김약수,m,18901021,19640110
Q12587966,김연수,m,18960825,19791204
Q12588010,김영명,f,19540619,
Q12588044,김영숙,f,19420828,
Q12588056,김영욱,m,19230529,20051201
Q12588105,김영한,m,19000101,19800101
Q12588170,김용룡,m,,
Q12588172,김용림,f,19400303,
Q12588177,김용무,,18910101,19510912
Q12588209,김용주,m,19050729,19850127
Q12588360,김응빈,,19140101,
Q12588365,김응수,m,19610212,
Q12588400,김인득,m,19150817,19970710
Q12588408,김인식,m,,
Q12588486,김재열,m,19681014,
Q12588578,김정주,m,19680222,
Q12588583,김정태,m,18980101,19500701
Q12588638,김조이,f,19040101,
Q12588656,김종량,m,19500904,
Q12588692,김종진,m,19621219,
Q12588811,김지연,f,19780301,
Q12588826,김지혜,f,19780823,
Q12588828,김지혜 (희극인),f,19790525,
Q12588829,김지호 (희극인),m,19811225,
Q12588831,김지환 (1892년),,18920222,19720409
Q12588833,김지훈 (1973년),m,19730505,20131212
Q12588834,김지훈,m,20000109,
Q12588836,김진,m,19491030,
Q12588839,김진 (1960년),f,19600406,
Q12588841,김진 (배우),m,19730823,
Q12588847,김진기,,19320419,20061228
Q12588849,김진동 (임시정부),,19120101,19970101
Q12588850,김진만 (1918년),,19181111,20060510
Q12588851,김진만 (음악가),m,19720225,
Q12588854,김진민,m,19720101,
Q12588855,김진복 (1924년),,19240101,20010810
Q12588856,김진봉 (1934년),,19340513,
Q12588858,김진성,m,19850307,
Q12588862,김진수,m,19710220,
Q12588863,김진수 (야구 선수),m,19790419,
Q12588864,김진숙,f,19600707,
Q12588865,김진애,f,19530216,
Q12588866,김진영 (1942년),,19421229,
Q12588868,김진왕,m,19620110,
Q12588871,김진우 (투수),m,19830307,
Q12588872,김진우 (배우),m,20060320,
Q12588873,김진욱,m,19600805,
Q12588875,김진웅,m,19800220,
Q12588877,김진원 (1917년),,19170318,20010326
Q12588884,김진철 (희극인),,19790327,
Q12588885,김진태 (배우),m,19510324,
Q12588887,김진하,m,19560221,
Q12588889,김진호 (가수),m,19860521,
Q12588897,김진희 (1983년),f,19830624,
Q12588898,김진희 (아나운서),f,19791115,
Q12588902,김찬도,,19070418,19940921
Q12588907,김찬우 (1933년),m,19330115,20060818
Q12588908,김찬진,,19410224,
Q12588911,김창규 (1920년),,19200307,
Q12588912,김창기,m,19570110,
Q12588914,김창남,m,19571018,20050627
Q12588915,김창열,m,19730101,
Q12588920,김창룡 (정치인),,19440101,
